Area Code (FAO),Year,Value
14,2015,0.86
14,2016,1.153
14,2017,0.792
14,2018,0.509
14,2019,0.974
14,2020,0.816
57,1992,1.272
57,1993,0.025
57,1994,1.141
57,1995,1.501
57,1996,-0.275
57,1997,0.36
57,1998,0.707
57,1999,1.506
57,2000,1.942
57,2001,1.979
57,2002,1.89
57,2003,0.084
57,2004,0.934
57,2005,1.28
57,2006,0.65
57,2007,2.364
57,2008,2.255
57,2009,1.602
57,2010,1.456
57,2011,1.008
57,2012,1.546
57,2013,1.193
57,2014,2.165
57,2015,2.244
57,2016,2.194
57,2017,1.588
57,2018,2.339
57,2019,2.697
57,2020,3.518
255,2000,1.487
255,2001,1.341
255,2002,1.402
255,2003,1.532
255,2004,1.094
255,2005,1.202
255,2006,1.401
255,2007,1.883
255,2008,1.257
255,2009,1.16
255,2010,0.231
255,2011,1.285
255,2012,1.131
255,2013,0.465
255,2014,2.409
255,2015,1.367
255,2016,1.867
255,2017,1.707
255,2018,2.177
255,2019,2.054
255,2020,2.549
15,1961,0.874
15,1962,-0.8
15,1963,-1.168
15,1964,-0.21
15,1965,-0.762
15,1966,0.48
15,1967,0.678
15,1968,-0.021
15,1969,-0.013
15,1970,-0.472
15,1971,-0.022
15,1972,-0.179
15,1973,0.179
15,1974,0.165
15,1975,0.942
15,1976,0.744
15,1977,0.144
15,1978,-0.274
15,1979,-0.629
15,1980,-0.041
15,1981,0.2
15,1982,0.517
15,1983,0.848
15,1984,-0.023
15,1985,-0.804
15,1986,-0.121
15,1987,-0.393
15,1988,0.757
15,1989,1.449
15,1990,1.497
15,1991,0.268
15,1992,1.02
15,1993,0.364
15,1994,1.607
15,1995,1.504
15,1996,-0.495
15,1997,0.68
15,1998,1.026
15,1999,1.441
23,1961,-0.004
23,1962,-0.107
23,1963,-0.052
23,1964,-0.115
23,1965,-0.173
23,1966,-0.264
23,1967,-0.351
23,1968,-0.237
23,1969,0.238
23,1970,-0.223
23,1971,-0.178
23,1972,0.526
23,1973,0.449
23,1974,0.136
23,1975,0.05
23,1976,-0.316
23,1977,0.241
23,1978,0.134
23,1979,0.662
23,1980,0.635
23,1981,-0.069
23,1982,0.575
23,1983,0.721
23,1984,0.203
23,1985,0.488
23,1986,0.18
23,1987,0.42
23,1988,0.523
23,1989,0.282
23,1990,0.447
23,1991,0.614
23,1992,0.303
23,1993,0.326
23,1994,0.632
23,1995,0.657
23,1996,0.113
23,1997,0.781
23,1998,0.826
23,1999,0.34
23,2000,0.064
23,2001,0.339
23,2002,0.643
23,2003,0.881
23,2004,0.64
23,2005,0.793
23,2006,0.595
23,2007,0.797
23,2008,0.523
23,2009,0.863
23,2010,0.777
23,2011,0.655
23,2012,0.574
23,2013,0.714
23,2014,0.715
23,2015,1.235
23,2016,1.367
23,2017,1.273
23,2018,0.742
23,2019,1.443
23,2020,1.653
53,1961,-0.117
53,1962,-0.221
53,1963,0.158
53,1964,-0.21
53,1965,-0.079
53,1966,-0.03
53,1967,-0.246
53,1968,-0.096
53,1969,0.359
53,1970,0.366
53,1971,-0.133
53,1972,0.127
53,1973,0.664
53,1974,0.026
53,1975,-0.343
53,1976,-0.249
53,1977,0.305
53,1978,-0.084
53,1979,0.479
53,1980,0.428
53,1981,0.175
53,1982,0.218
53,1983,0.564
53,1984,0.559
53,1985,0.428
53,1986,0.329
53,1987,1.015
53,1988,0.67
53,1989,-0.013
53,1990,0.624
53,1991,0.34
53,1992,0.015
53,1993,0.567
53,1994,0.471
53,1995,0.454
53,1996,0.772
53,1997,0.588
53,1998,1.067
53,1999,0.641
53,2000,0.472
53,2001,0.55
53,2002,0.74
53,2003,0.994
53,2004,0.764
53,2005,1.147
53,2006,1.08
53,2007,0.88
53,2008,0.68
53,2009,0.996
53,2010,1.284
53,2011,0.993
53,2012,0.64
53,2013,0.91
53,2014,0.975
53,2015,1.192
53,2016,1.139
53,2017,1.26
53,2018,1.129
53,2019,1.232
53,2020,1.141
18,1961,0.227
18,1962,-0.265
18,1963,-0.204
18,1964,0.061
18,1965,-0.574
18,1966,0.186
18,1967,-0.364
18,1968,-0.474
18,1969,0.1
18,1970,-0.042
18,1971,-0.252
18,1972,-0.067
18,1973,0.259
18,1974,0.116
18,1975,0.06
18,1976,-0.077
18,1977,-0.087
18,1978,-0.258
18,1979,0.348
18,1980,0.045
18,1981,0.166
